Total,Lat,Lon
8,24.9849311,121.5645011
19,25.1062252,121.5319667
34,25.1057574,121.5326595
9,25.1059645,121.5326256
8,25.1064726,121.5313269
14,25.1062275,121.5328767
4,25.1055035,121.5281867
5,25.1066256,121.5305153
6,25.1082067,121.5316888
69,25.1053887,121.5285987
110,25.1140402,121.5323359
1,25.0672912,121.5179864
4,25.0643267,121.5179702
2,25.0783932,121.5217282
48,25.0794839,121.5197847
4,25.0562056,121.5189544
49,25.0580802,121.5182709
9,25.0580802,121.5182709
41,25.0707623,121.518518
13,25.0697306,121.5180544
6,25.0701467,121.5181587
20,25.0704902,121.517492
9,25.0726887,121.5198154
42,25.0707623,121.518518
11,25.089416,121.51908
17,25.088363,121.522736
23,25.0819016,121.5215803
2,25.082045,121.5237947
56,25.0852328,121.5233011
13,25.089416,121.51908
14,25.0421876,121.5046589
55,25.0421876,121.5046589
17,25.0510275,121.5937829
12,25.0492366,121.5926017
11,25.0491832,121.5934791
10,25.0501576,121.5949544
42,25.0659355,121.5136785
216,25.0774522,121.5464385
12,25.078666,121.5470402
17,25.0786529,121.5487977
13,25.0780765,121.546884
3,25.0780896,121.5511552
7,25.0785347,121.5527979
4,25.0792621,121.5511924
22,25.0799969,121.5511523
4,25.0819404,121.5519589
8,25.0835807,121.5517067
52,25.1112709,121.5211552
73,25.1168754,121.5195452
64,25.1112709,121.5211552
36,25.1112709,121.5211552
26,25.045516,121.5272945
10,25.0393808,121.5271027
19,25.0314207,121.5233205
65,25.0396434,121.5255956
46,25.0316824,121.5224217
54,25.0334309,121.5243625
140,25.1146024,121.5391722
57,25.0549223,121.6026449
5,25.0551799,121.6005023
31,25.0711444,121.6157933
15,25.0703937,121.61532
48,25.0739211,121.6155242
3,25.0688027,121.6135691
10,25.0687722,121.6140124
2,25.0316342,121.4982918
48,25.02718,121.497173
6,25.0266791,121.4972442
5,25.0266721,121.4988704
85,25.0468401,121.5877415
140,25.0431601,121.5927934
24,25.0478277,121.586749
12,25.0475794,121.5895023
6,25.0469688,121.5884286
18,25.0469688,121.5884286
1,25.0483604,121.5657666
15,25.0428958,121.579092
12,25.0435642,121.57839
47,25.0311805,121.568309
3,25.02941,121.5691409
6,25.0252927,121.569674
2,25.0250579,121.5700256
17,25.0311805,121.568309
11,25.0300553,121.5642512
2,25.0567859,121.5325441
5,25.0473719,121.5340016
6,25.0634253,121.5342005
2,25.0660855,121.534579
5,25.0501974,121.5324901
14,25.0501827,121.5336219
14,25.050521,121.5314671
1,25.0497845,121.5320431
15,25.0593595,121.5330003
1,25.0593595,121.5330003
73,25.0568597,121.5908554
70,25.0452502,121.5720874
7,25.0365659,121.5697473
8,25.034182,121.5718529
7,25.0300396,121.5647485
12,25.0297118,121.5647399
61,25.0469789,121.5724459
23,25.0469789,121.5724459
6,25.0313558,121.5691025
69,25.0343749,121.5746235
24,25.0365273,121.5732428
6,25.0356485,121.5735352
12,25.0399835,121.5803122
25,25.0397911,121.5809687
7,25.0399835,121.5803122
4,25.0399835,121.5803122
2,25.0562712,121.5245933
5,25.045268,121.5238936
3,25.0456008,121.5245883
24,25.0566487,121.5254942
2,25.0566487,121.5254942
11,25.0566487,121.5254942
38,25.0384633,121.5214438
15,25.0396509,121.5227414
7,25.04411,121.5115142
24,25.0911936,121.506184
4,25.087424,121.5067949
11,25.0917608,121.5069005
112,25.0186658,121.5540475
28,25.0186658,121.5540475
15,25.0170005,121.5578746
6,25.0232757,121.5472522
6,25.1069801,121.5328737
18,25.1065079,121.5337286
5,25.1087968,121.5332544
100,25.0132311,121.5459037
8,25.035666,121.576496
4,25.0469239,121.575529
8,25.0328437,121.5280694
30,25.0386494,121.5285219
16,25.0301643,121.5266395
3,25.0294624,121.5276874
27,25.033151,121.5260772
102,25.078459,121.5999571
13,25.0813803,121.5961945
35,25.0302491,121.5260697
11,25.0290606,121.5305879
9,25.0307938,121.5273011
19,25.0302491,121.5260697
13,25.0310512,121.5282319
2,25.030623,121.5283985
9,25.0305888,121.5303366
27,25.0302491,121.5260697
36,25.0302491,121.5260697
80,25.085704,121.5905055
4,25.0885542,121.5873441
22,25.0514809,121.5144918
32,25.0514809,121.5144918
14,25.0492164,121.539093
25,25.0489386,121.5255248
8,25.0476751,121.5279342
13,25.0483719,121.5377656
9,25.0483719,121.5377656
4,25.0483719,121.5377656
64,25.0402389,121.5097286
42,25.0404026,121.503613
10,25.0564348,121.531607
8,25.0554075,121.5336448
3,25.0539173,121.5390534
16,25.0547633,121.5362581
30,25.0547633,121.5362581
27,25.0547633,121.5362581
22,25.0547633,121.5362581
19,25.0547633,121.5362581
46,25.0547633,121.5362581
16,25.0547633,121.5362581
18,25.0313487,121.4907441
3,25.0313755,121.4891787
16,25.0316366,121.4886832
18,25.0164895,121.5453188
47,25.0993491,121.5324923
6,25.0977791,121.5312799
175,25.10458,121.5314259
1,25.0284602,121.5310391
101,25.0219055,121.5021848
4,25.0204674,121.5015958
3,25.0195658,121.5021327
8,25.0235527,121.5021304
111,25.04362,121.5230004
26,25.059196,121.5131528
55,25.0253836,121.5565519
15,25.0235932,121.5589681
17,25.031792,121.5308798
6,25.0342173,121.5311577
20,25.0347916,121.5395079
27,25.0311402,121.5394217
53,25.0356124,121.5419515
3,25.0350931,121.5430054
5,25.0343861,121.5386417
6,25.0338034,121.5548476
8,25.0356238,121.5751663
29,25.0339771,121.5284899
4,25.033948,121.525633
23,25.0238885,121.5718288
46,25.0241722,121.5702854
10,25.0323182,121.5515866
10,25.0343727,121.5516387
6,25.0344848,121.5548166
60,25.0848803,121.52051
10,25.053601,121.513571
3,25.0530711,121.5121474
2,25.0539992,121.5132931
21,25.0539992,121.5132931
8,25.0528847,121.5461363
3,25.052851,121.5392531
2,25.0525262,121.5614096
19,25.0593112,121.5865302
23,25.0509485,121.5475272
3,25.0506009,121.5607925
16,25.0490109,121.5599701
6,25.026135,121.5219111
35,25.0315622,121.5169543
19,25.026135,121.5219111
19,25.0312892,121.5120489
6,25.0312892,121.5120489
62,25.0530088,121.5876134
55,25.0523882,121.5878633
21,25.051649,121.5857932
66,25.0550966,121.6140127
13,25.0541509,121.6087199
13,25.0540686,121.6082308
14,25.0363837,121.504737
9,25.0733339,121.5167505
6,25.0733339,121.5167505
4,25.075364,121.5148448
5,25.0506123,121.5358157
10,25.0509827,121.5355826
20,25.047326,121.5387575
14,25.0477953,121.5385165
10,25.0493226,121.535374
22,25.0501571,121.535845
8,25.0663739,121.5366672
1,25.0489965,121.5365074
21,25.0572323,121.5371373
16,25.0572323,121.5371373
47,25.0675599,121.5342641
12,25.0672927,121.5362845
63,25.0361313,121.5389409
15,25.0356997,121.536051
12,25.0308353,121.5387862
16,25.0396259,121.5381383
9,25.0287344,121.5390079
22,25.0867067,121.5203834
14,25.0134855,121.5302734
3,24.981667,121.5673717
2,24.9874844,121.5766531
52,25.0794429,121.5937232
10,25.0806183,121.5953117
4,25.0793185,121.5956648
21,25.0379917,121.5052124
10,25.0306998,121.5142484
61,25.0290442,121.5141858
9,25.0304994,121.5143888
24,25.0280872,121.514605
17,25.0474065,121.5081155
41,25.079972,121.571275
26,25.0261024,121.5186686
13,25.0255947,121.5204916
3,25.0314278,121.5157764
68,25.027446,121.5183256
111,25.0526653,121.6183487
