Name,Total,Usage,Lat,Lon
台北市北安路588巷30弄,12,0.92,25.0805422,121.55030959999999
台北市北安路608巷14弄,27,0.93,25.0814951,121.55030950000003
台北市北安路608巷5弄,8,1,25.0823576,121.54947600000003
台北市北安路630巷,1,0,25.0827467,121.55001300000004
台北市北安路630巷25弄,3,0.33,25.083261,121.55032559999995
台北市北安路630巷9弄,2,1,25.0834299,121.5497345
台北市北安路770巷,21,0.43,25.0846195,121.55327929999999
台北市北安路805巷,6,0.33,25.0861313,121.55553050000003
台北市北安路821巷,5,0.2,25.0851924,121.556377
台北市北安路821巷2弄,5,0,25.0853797,121.55573800000002
台北市北安路821巷4弄,10,0.5,25.0855928,121.55622829999993
台北市北寧路,10,1,25.0498695,121.55267249999997
台北市北寧路56巷,1,1,25.0498582,121.55299379999997
台北市四平街,11,0.82,25.0536388,121.53338570000005
台北市四維路,37,0.92,25.0309636,121.54799060000005
台北市四維路154巷,27,0.78,25.0309711,121.54747559999998
台北市四維路170巷,16,1,25.0282013,121.54726870000002
台北市四維路198巷,22,0.95,25.0267043,121.5473227
台北市四維路52巷,19,0.68,25.0350711,121.54719109999996
台北市四維路76巷,18,0.72,25.0342329,121.54720550000002
台北市四維路A,48,0.5,25.0309636,121.54799060000005
台北市市民大道七段A,11,1,25.050719,121.59018400000002
台北市市民大道五段,6,1,25.0472331,121.56303079999998
台北市平陽街,31,0.42,25.0551611,121.51654229999997
台北市民生西路,48,0.65,25.0570321,121.51552079999999
台北市民生西路423巷,6,0,25.0572481,121.50878460000001
台北市民生西路A,11,0.91,25.0570321,121.51552079999999
台北市民生東路3段113巷,13,0,25.0589566,121.54616320000002
台北市民生東路3段113巷25弄,16,0,25.0591248,121.5472575
台北市民生東路3段127巷,11,0,25.0584527,121.54746469999998
台北市民生東路4段55巷,8,1,25.0586006,121.55052390000003
台北市民生東路4段75巷,10,1,25.0584926,121.55125640000006
台北市民生東路4段75巷5弄,2,1,25.0588865,121.55087809999998
台北市民生東路4段97巷7弄,5,1,25.0589518,121.55161999999996
台北市民生東路5段137巷6弄,33,0.88,25.0603615,121.56232890000001
台北市民生東路5段137巷B,27,1,25.0597839,121.56147199999998
台北市民生東路5段260巷,5,0.2,25.0581289,121.56726200000003
台北市民生東路5段36巷4弄,25,1,25.0578543,121.55901110000002
台北市民生東路5段36巷8弄,36,0.72,25.0571837,121.55895469999996
台北市民生東路5段69巷21弄,10,1,25.0596768,121.5575844
台北市民生東路5段69巷2弄,42,0.76,25.0593323,121.55980109999996
台北市民生東路5段69巷4弄,31,0.71,25.0599807,121.5592603
台北市民生東路一段,24,0.83,25.0580558,121.52525809999997
台北市民生東路二段,27,1,25.0579434,121.5325398
台北市民生東路二段A,19,0.47,25.0579434,121.5325398
台北市民生東路二段B,17,0.88,25.0579434,121.5325398
