Name,Usage,Lat,Lon
台北市民生東路5段260巷,0.2,25.0581289,121.567262
台北市民生東路5段36巷4弄,1,25.0578543,121.5590111
台北市民生東路5段36巷8弄,0.72,25.0571837,121.5589547
台北市民生東路5段69巷21弄,1,25.0596768,121.5575844
台北市民生東路5段69巷2弄,0.76,25.0593323,121.5598011
台北市民生東路5段69巷4弄,0.71,25.0599807,121.5592603
台北市民生東路一段,0.83,25.0580558,121.5252581
台北市民生東路二段,1,25.0579434,121.5325398
台北市民生東路二段A,0.47,25.0579434,121.5325398
台北市民生東路二段B,0.88,25.0579434,121.5325398
台北市民生東路三段,1,25.0577102,121.543266
台北市民生東路三段107巷,0,25.0584972,121.5448508
台北市民生東路五段,1,25.058935,121.5623837
台北市民生東路五段27巷,0.74,25.0594947,121.5567212
台北市民生東路五段27巷9弄,0.69,25.0599479,121.555843
台北市民生東路五段36巷,1,25.0573909,121.5570922
台北市民生東路五段69巷,0.74,25.0595564,121.5581865
台北市民生東路四段131巷,1,25.059022,121.5537679
台北市民生東路四段80巷,0,25.0572197,121.5530257
台北市民生東路四段97巷,1,25.0589209,121.5520378
台北市民和街,0.67,25.025483,121.4977661
台北市民族西路,0.58,25.0685856,121.5158928
台北市民族西路225巷,0.8,25.0694883,121.5122647
台北市民族西路252巷,1,25.0679301,121.5122486
台北市民族西路303巷,0.78,25.0701604,121.5104945
台北市民族西路31巷,0,25.069102,121.5196282
台北市民族西路32巷,0.83,25.0672867,121.5193679
台北市民族西路76巷12弄,0.5,25.0676965,121.5171314
台北市民族西路76巷2弄,1,25.0680596,121.5173019
台北市民族東路,0.19,25.0681389,121.5363129
台北市民族東路410巷2弄,1,25.0668501,121.5374028
台北市民族東路A,0.11,25.0643982,121.5464689
台北市民族東路B,0,25.0681389,121.5363129
台北市民族東路C,0.58,25.0681389,121.5363129
台北市民族東路D,0.05,25.0681389,121.5363129
台北市民善街,0.73,25.0613095,121.5752575
台北市民樂街A,0,25.0572297,121.5106124
台北市民樂街B,0.93,25.0572297,121.5106124
台北市民權西路,1,25.0630601,121.5158278
台北市民權西路102巷,0.96,25.0615791,121.5176956
台北市民權西路144巷19弄,1,25.0620233,121.5162535
台北市民權東路3段103巷,1,25.0632349,121.5451466
